member_id,name,age,club,gender,weight_class,entry_total,session_number,session_platform,meet
15,Raghad (Ray Ray) Alshwikhat,15,Standard Strength,Male,625kg,95,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
15,Addison Williams,15,Lion Chaser Barbell,Male,463kg,90,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
58,Grace Killough,17,Bull Strength Barbell TXOK,Male,58kg,70,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
28,Colleen Harrington,48,"Mach 1 Barbell W45, Open",Female,45kg,85,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
48,Gloria Chun,48,"Marin Heavy Athletics W45, Open",Male,606kg,73,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
59,Karen Buchanan,59,"VAUGHN WEIGHTLIFTING TXOK W55, TXOK, W55, Open",Male,669kg,74,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
58,Jocelyn Ludlow,66,"OKC BARBELL CLUB TXOK W65, TXOK, W65, Open",Female,65kg,54,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
28,Estefania Flores,28,Alpha,Male,335kg,101,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
28,Eileen Hess,28,Unaffiliated,Male,427kg,101,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
71,Ezekiel Macias,61,"Houston Weightlifting Academy Open, TXOK, TXOK",Male,71kg,168,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
71,Kayden Ramos,16,"Bull Strength Barbell TXOK, TXOK",Male,71kg,145,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
71,Christopher Nathaniel,89,"Austin Barbell Open, TXOK, TXOK",Male,71kg,145,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
37,John Deleon,37,"Stomp Weightlifting M35, Open, TXOK M35, TXOK",Male,435kg,160,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
71,Frederick Jurado,36,"LAS VEGAS BARBELL M35, Open",Male,35kg,150,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
38,Oscar Hatakeda,38,"Jacksonville Weightlifting M35, Open",Male,631kg,140,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
71,Eric Kurschinski,46,Unaffiliated,Male,45kg,184,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
71,Laurence Nathan,57,"TXOK M55, TXOK",Male,55kg,160,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
71,Tim Barlow,66,"ECLIPSE BARBELL CLUB M65, Open, TXOK M65, TXOK",Male,65kg,104,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
71,Nicholas Weingarten,74,"MILLER WEIGHTLIFTING M70, Open",Male,70kg,109,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
30,Aadam Husain,1,"Hunger in the Wild Open, TXOK",Male,1kg,182,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
25,Daniel Huang,25,MURDER OF CROWS Open,Male,466kg,170,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
14,Paisley Sanders,3,Waco Barbell TXOK,Male,3kg,73,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
15,Jaycee Hickok,15,Pure Health Barbell TXOK,Male,529kg,70,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
16,Corinne Blackwell,16,BlueWave Weightlifting TXOK,Male,202kg,89,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
17,Amariah Hernandez,17,Bull Strength Barbell TXOK,Male,390kg,80,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
53,Panatda Wongtep,43,"Standard Strength W40, Open",Female,40kg,100,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
53,Brenda Trevino,50,"Houston Weightlifting Academy TXOK W50, TXOK, W50, Open",Female,50kg,95,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
53,Ximena Machado,29,Bull Strength Barbell TXOK,Male,53kg,70,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
53,Athena Pham,28,Unaffiliated,Male,53kg,100,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
58,Gia Duva,32,No Te Rajes Barbell TXOK,Male,58kg,117,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
20,Casey Bates,20,"ALLSOUTH Barbell JR, Open",Male,566kg,110,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
18,Kira Lee Hubbell,18,"Waco Barbell JR, TXOK JR, TXOK, Open",Male,468kg,103,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
28,Clara Blood,37,"Austin Barbell MIL, MILMW, TXOK W35, TXOK, W35, Open",Female,35kg,110,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
35,Nicole Meyer,66,Unaffiliated,Male,66kg,105,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
31,Cyrielle Kolbecher,31,MILWAUKEE BARBELL WEIGHTLIFTING CLUB Open,Male,657kg,115,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
34,Jenna Decastro,34,MILLER WEIGHTLIFTING Open,Male,402kg,112,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
25,Madison Schmitz,25,Unaffiliated,Male,206kg,110,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
34,Alexis Wells,34,Unaffiliated,Male,504kg,108,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
79,Adam Ostrinsky,17,"BlueWave Weightlifting TXOK, TXOK",Male,79kg,120,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
79,Erik Hayrapetyan,5,"Houston Weightlifting Academy Open, TXOK, TXOK",Male,79kg,175,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
79,Thomas Rice,38,"Grizzly weightlifting M35, Open",Male,35kg,160,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
79,Siu Fung Wong,41,"DEUCE Weightlifting M40, Open",Male,40kg,170,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
50,Robert Rosenqvist,50,"Wear The Crown Barbell M50, Open, TXOK M50, TXOK",Male,124kg,150,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
79,Brian Bufkin,59,"Black Label Barbell Club M55, Open, TXOK M55, TXOK",Male,55kg,131,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
79,Michael Keating,61,"Barbell Control M60, Open",Male,60kg,140,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
79,Willie Sklaroff,54,"Exclusive Club Weightlifting M70, MIL, MILMM, Open",Male,70kg,78,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
79,Joel Grangeno,21,TEXAS BARBELL CLUB TXOK,Male,79kg,155,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
53,Emersyn Formanek,14,Lion Chaser Barbell,Male,53kg,105,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
28,Zoe Macias,16,Houston Weightlifting Academy TXOK,Male,28kg,100,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
53,Cheryl Madamba,45,Unaffiliated,Female,45kg,101,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
33,Tori Shi-Bailey,33,Protopig Strength Open,Male,311kg,110,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
27,Alexandra Ivanova,27,MILLER WEIGHTLIFTING Open,Male,189kg,100,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
364,Serene Hoang,15,Bull Strength Barbell TXOK,Male,44kg,45,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
263,Elhiana Inez Perez,14,BlueWave Weightlifting TXOK,Male,48kg,74,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
28,Yraima Chairez,18,"Bull Strength Barbell TXOK JR, TXOK",Male,28kg,85,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
48,Candice Newton,40,"Cully Strength W40, Open",Female,40kg,70,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
22,D. Irizarry,22,Kuma Weightlifting Open,Male,377kg,174,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
33,Lucy Nguyen,33,BLACK & RED BARBELL CLUB Open,Male,113kg,140,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
30,Daphne Gerrald,37,Built By Becker Weightlifting Club Open,Male,37kg,110,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
71,Matias Navarrete,15,"TEAM OMNIA Open,",Male,71kg,185,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
16,Dominic Fruchtenicht,16,Unaffiliated,Male,599kg,200,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
17,Julian Pina,17,"Iron Brotherhood Open,",Male,408kg,185,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
20,Collin Chen,20,"Houston Weightlifting Academy JR, Open, TXOK JR, TXOK",Male,413kg,195,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
18,Jacob Aubin,18,"Iron Brotherhood JR, Open",Male,36kg,185,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
71,Tony Lau,47,"FOUNDATION BARBELL M45, Open",Male,45kg,185,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
32,Joshua Williams,32,Tri State Barbell Open,Male,324kg,197,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
34,Daniel Lema,34,Queens Barbell Open,Male,611kg,195,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
71,Bernard Yuan,33,Mach10 Weightlifting Club Open,Male,10kg,191,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
30,Daud Jamshaid,30,"BlueWave Weightlifting Open, TXOK",Male,108kg,185,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
25,Chenhao Yuan,25,Mach10 Weightlifting Club Open,Male,188kg,185,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
23,Chris Gu,23,Standard Strength Open,Male,531kg,185,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
56,Atreyu Letson,15,"VAUGHN WEIGHTLIFTING TXOK, TXOK",Male,56kg,80,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
28,Elek Ancsin-Fisher,15,"OKC BARBELL CLUB Open, TXOK, TXOK",Male,28kg,95,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
512,Cody Anderson,15,"Waco Barbell Open, TXOK, TXOK",Male,60kg,170,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
383,Jason Goico,17,"Iron Brotherhood Open,",Male,60kg,160,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
60,Johnson Trang,36,"Strong Weightlifting M35, Open, TXOK M35, TXOK",Male,35kg,135,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
58,Ava Luis,14,TEAM OMNIA,Male,58kg,125,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
58,Maya Litt,75,Sanctuary Barbell,Male,58kg,128,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
58,Natalie Hata,19,"TEXAS BARBELL CLUB JR, TXOK JR, TXOK, Open",Male,58kg,128,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
28,Stephanie Langdon,37,"Wolf Pack Weightlifting W35, Open",Female,35kg,120,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
36,Marissa Reeves,36,"Lighthouse Lifting W35, Open",Male,673kg,120,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
58,Rosanna Sansone,55,"Marin Heavy Athletics W55, Open",Female,55kg,130,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
25,Cara Le,25,Standard Strength Open,Male,693kg,128,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
28,Eleanor Rackoff,28,"Austin Barbell TXOK, Open",Male,334kg,121,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
31,Emily Gafken,31,Unaffiliated,Male,641kg,120,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
37,Rachelyn Teague,62,"BlueWave Weightlifting TXOK W35, TXOK, W35, Open",Male,62kg,160,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
28,Nile Franklin,40,Unaffiliated,Female,40kg,146,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
53,Elaine Tsay,40,"Stonehenge Weightlifting TXOK W40, TXOK, W40, Open",Female,40kg,135,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
